id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1789,0,0,1,1,0,0,0,0,1,0,0
1790,1,1,0,0,0,0,0,1,0,0,1
1791,1,0,0,0,0,0,0,1,0,0,1
1792,1,1,0,0,0,0,0,0,1,0,0
1793,0,0,0,1,0,1,0,0,1,0,0
1794,0,0,1,1,0,0,0,0,0,0,0
1795,0,0,1,1,0,0,0,0,1,0,0
1796,0,0,1,1,0,0,0,0,1,0,0
1797,1,0,0,0,0,0,0,0,0,0,1
1798,0,0,0,1,0,0,0,0,1,0,0
1799,1,1,0,0,0,0,0,0,0,0,0
1800,0,0,1,1,0,0,0,0,0,0,0
1801,0,0,1,1,0,0,0,0,1,0,0
1802,1,0,1,1,0,0,0,0,0,0,0
1803,0,1,0,0,0,0,0,0,0,0,0
1804,0,0,0,1,1,0,0,0,1,0,0
1805,0,1,0,0,0,0,0,0,0,0,1
1806,0,0,0,1,0,0,0,0,1,0,0
1807,0,1,0,0,0,0,0,0,0,0,1
1808,0,0,0,1,0,0,0,0,1,0,0
1809,0,0,1,0,0,0,0,0,0,0,0
1810,0,0,0,1,1,1,0,0,1,0,0
1811,1,0,1,0,0,0,0,0,0,0,0
1812,0,0,0,1,0,0,0,0,1,0,0
1813,0,0,1,0,0,0,0,0,0,0,1
1814,0,0,0,1,0,0,0,0,0,0,1
1815,0,0,1,1,0,1,0,0,1,0,0
1816,0,0,0,0,0,0,0,0,1,0,0
1817,0,0,1,0,0,0,0,0,0,0,1
1818,0,1,0,0,0,0,0,0,0,0,0
1819,0,0,1,1,0,1,0,0,0,0,0
1820,0,0,0,1,0,0,0,0,1,0,0
1821,0,1,0,0,0,0,0,0,0,0,1
1822,0,0,0,1,0,0,0,0,1,0,0
1823,0,1,0,0,0,0,0,0,0,0,0
1824,0,0,1,0,0,0,0,0,0,0,0
1825,0,0,1,1,0,0,0,0,0,0,0
1826,1,1,1,0,0,0,0,0,0,0,0
1827,1,0,1,0,0,0,0,1,0,0,0
1828,0,1,1,0,0,0,0,0,1,0,0
1829,0,0,1,1,0,0,0,0,1,0,0
1830,0,1,0,1,0,0,0,0,1,0,0
1831,0,0,0,0,0,0,0,0,1,0,0
1832,0,0,1,1,0,0,0,0,0,0,1
1833,0,0,0,0,0,0,1,0,0,0,0
1834,1,0,0,0,0,0,0,0,0,0,1
1835,0,0,1,1,0,0,0,0,0,0,0
1836,0,0,1,1,0,0,0,0,0,0,0
1837,0,0,0,1,0,1,0,0,1,0,0
1838,0,0,1,1,0,1,0,0,1,0,0
1839,0,0,1,1,0,0,0,0,0,0,0
1840,0,0,1,1,0,1,0,0,0,0,0
1841,0,0,1,1,1,1,0,0,1,0,0
1842,0,0,1,1,0,0,0,0,0,0,0
1843,0,1,0,0,0,0,0,0,0,0,1
1844,0,0,1,0,0,0,0,0,1,0,0
1845,0,0,1,1,0,0,0,0,1,0,0
1846,0,0,1,0,0,0,0,0,0,0,0
1847,1,0,1,1,0,0,0,0,1,0,1
1848,0,0,1,1,0,0,0,0,0,0,1
1849,0,0,0,1,0,1,0,0,1,0,0
