id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
472,0,0,1,1,1,0,0,0,0,0,0
473,0,0,1,1,0,0,0,0,0,0,0
474,0,0,1,1,0,0,0,0,0,0,0
475,0,0,0,0,0,1,0,0,1,0,0
476,1,1,1,0,0,0,0,0,0,0,1
477,0,0,1,1,0,0,0,0,1,0,0
478,0,0,1,1,0,0,0,0,1,0,0
479,0,1,1,1,0,0,0,0,1,0,0
480,0,0,1,1,0,0,0,0,1,0,0
481,0,0,1,1,0,0,0,0,1,0,1
482,0,0,1,0,0,0,0,0,1,0,1
483,0,0,0,1,0,1,0,0,1,0,0
484,0,0,1,1,0,0,0,0,1,0,0
485,1,0,1,0,0,0,0,0,0,0,1
486,0,0,0,1,1,1,0,1,1,0,0
487,0,0,0,1,1,1,0,0,1,0,0
488,0,0,0,1,0,1,0,0,0,0,0
489,0,0,1,1,0,0,0,1,0,0,0
490,0,0,0,1,1,1,0,0,1,0,0
491,0,0,1,1,0,0,0,0,0,0,1
492,0,0,1,0,0,0,0,0,0,0,1
493,1,0,1,0,0,0,0,0,0,0,1
494,0,0,1,0,0,0,0,0,0,0,0
495,0,0,1,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0,1,0,0
497,0,0,1,1,0,0,0,0,1,0,0
498,0,0,1,0,0,0,0,0,0,0,0
499,1,1,0,0,0,1,0,1,0,1,0
500,1,0,0,0,0,0,0,0,0,1,1
501,1,1,0,0,0,0,0,0,0,0,1
502,0,0,1,0,0,0,0,0,0,0,0
503,0,1,0,0,0,0,0,0,1,0,0
504,0,1,1,0,0,0,0,0,0,0,1
505,0,0,0,1,0,0,0,1,1,0,0
506,0,0,0,0,0,0,0,0,1,0,0
507,1,0,1,0,0,0,0,0,0,0,0
508,0,0,1,1,0,1,0,0,1,1,0
509,0,0,1,0,0,0,0,0,0,0,1
510,0,0,1,1,0,1,0,0,1,0,0
511,0,1,1,0,0,0,0,1,0,0,1
512,0,0,0,1,0,0,0,0,1,0,0
513,1,0,0,0,0,0,0,0,1,0,0
514,0,0,0,0,0,0,0,0,1,0,0
515,1,0,1,0,0,0,0,0,0,0,1
516,1,0,0,0,0,0,0,0,0,0,1
517,0,0,0,1,0,1,0,0,1,0,0
518,0,0,1,0,0,0,0,0,0,0,0
519,0,0,1,1,0,0,0,0,1,0,0
520,1,0,0,1,0,0,1,0,0,1,0
